Hour_number,Date,HE,Datetime,Normalized_Space_Heat_Demand,Normalized_Water_Heat_Demand,Normalized_Elec_Demand,Normalized_Elec_Demand_0ShareElecTransp,Normalized_Elec_Demand_10ShareElecTransp,Normalized_Elec_Demand_20ShareElecTransp,Normalized_Elec_Demand_30ShareElecTransp,Normalized_Elec_Demand_40ShareElecTransp,Normalized_Elec_Demand_50ShareElecTransp,Normalized_Elec_Demand_60ShareElecTransp,Normalized_Elec_Demand_70ShareElecTransp,Normalized_Elec_Demand_80ShareElecTransp,Normalized_Elec_Demand_90ShareElecTransp,Normalized_Elec_Demand_100ShareElecTransp
2291,2016-04-06,12,2016-04-06 11:00:00,0.00010154465930814527,0.00016181936254555678,0.00011324985789153923,0.00011324985789153923,0.00011027846921969411,0.00010762265224942353,0.00010523466971098707,0.00010307595057319233,0.00010111499075559029,9.932580551583456e-05,9.768677147118679e-05,9.617974841754474e-05,9.478940512533636e-05,9.350269589784555e-05
2292,2016-04-06,13,2016-04-06 12:00:00,9.506515235508215e-05,0.0001424801232630675,0.00011404622807810547,0.00011404622807810547,0.00011103017924794355,0.00010833444518184619,0.00010591057111591122,0.00010371940629392549,0.00010172897312713261,9.991289632087715e-05,9.824922749162036e-05,9.671955378685331e-05,9.530831354766085e-05,9.400226499968601e-05
2293,2016-04-06,14,2016-04-06 13:00:00,8.560502104084622e-05,0.00013359801112866805,0.00011517820330530173,0.00011517820330530173,0.00011209867370487738,0.0001093462007447584,0.0001068713098016476,0.00010463402608752705,0.0001026016989602252,0.00010074739798685285,9.904871282175738e-05,9.748684306497098e-05,9.604589952107291e-05,9.471236170734203e-05
2294,2016-04-06,15,2016-04-06 14:00:00,6.093850090853677e-05,0.00012805091298812493,0.00011987390459051336,0.00011987390459051336,0.00011653104172329496,0.000113543202395452,0.0001108566813654219,0.00010842808556613636,0.00010622197237048407,0.00010420910850072967,0.00010236516728298331,0.00010066974067864958,9.91055807933245e-05,9.765801099599626e-05
2295,2016-04-06,16,2016-04-06 15:00:00,5.3658591380124626e-05,0.00012788632502649318,0.00012355221668144026,0.00012355221668144026,0.0001200030742980036,0.00011683086304837787,0.00011397856367792607,0.00011140010544441417,0.00010905785864687694,0.00010692078609679112,0.00010496305998345073,0.00010316301294040407,0.00010150233274980506,9.996543712328614e-05
2296,2016-04-06,17,2016-04-06 16:00:00,2.953366598822323e-05,0.00012702672801334267,0.00013266539520830057,0.00013266539520830057,0.00012860518899720662,0.00012497619065700457,0.0001217131703640306,0.00011876342335370805,0.000116083901382525,0.00011363909801765832,0.00011139946633590297,0.00010934021894742194,0.0001074404067404003,0.00010568220363259685
2297,2016-04-06,18,2016-04-06 17:00:00,5.7981626849844614e-05,0.00014318166116577294,0.0001246297411277125,0.0001246297411277125,0.00013323880981232274,0.0001409335657786012,0.00014785231925095775,0.0001541068229125461,0.00015978835421723858,0.0001649721993212124,0.00016972100811909514,0.00017408733861669338,0.0001781156103171358,0.00018184362079976023
2298,2016-04-06,19,2016-04-06 18:00:00,3.689282178421584e-05,0.00014318719361397449,0.0001314841260518996,0.0001314841260518996,0.00013970880325495745,0.0001470599914377253,0.0001536698253282821,0.00015964506789707062,0.00016507292109606964,0.00017002530958462386,0.0001745620859645645,0.0001787334615477108,0.00018258187252410106,0.0001861434288262378
2299,2016-04-06,20,2016-04-06 19:00:00,0.00010655890494995626,0.0001426686326558991,0.00012000888585321876,0.00012000888585321876,0.000123157728917615,0.00012597215401332262,0.00012850274932900904,0.00013079038939758456,0.0001328684597556376,0.00013476449698109639,0.00013650141582739246,0.00013809843985030466,0.00013957181587622913,0.00014093536870432924
2300,2016-04-06,21,2016-04-06 20:00:00,9.379656065138718e-05,0.00013775368495063086,0.0001147812406211825,0.0001147812406211825,0.00011822324818071557,0.00012129970269338993,0.00012406590222400444,0.000126566526818021,0.00012883807028188417,0.00013091063291194226,0.00013280926287760964,0.0001345549734916995,0.0001361655241973248,0.00013765602691408793
2301,2016-04-06,22,2016-04-06 21:00:00,8.933426798191203e-05,0.00011077767766824838,0.00010768060894209056,0.00010768060894209056,0.00011152081741407207,0.00011495318253207329,0.00011803939971461141,0.00012082931797745524,0.00012336365304311818,0.00012567598746801437,0.00012779426720831307,0.00012974193657681537,0.0001315388095811086,0.00013320174641707583
2302,2016-04-06,23,2016-04-06 22:00:00,8.705493262782983e-05,8.47452905770243e-05,0.00010097475603604658,0.00010097475603604658,0.00010519102636655182,0.00010895951427966304,0.00011234795686947814,0.00011541108473922463,0.0001181936007986718,0.00012073237625865747,0.00012305809375183388,0.00012519649343298788,0.0001271693296451267,0.0001289951136602781
2303,2016-04-06,24,2016-04-06 23:00:00,7.525168505710259e-05,7.612024172867108e-05,9.754285556581098e-05,9.754285556581098e-05,0.0001019515856605234,0.00010589209344862401,0.0001094352080140824,0.00011263815824371945,0.00011554768759755368,0.00011820235034371944,0.00012063422968261781,0.00012287024072788144,0.00012493313084132267,0.00012684225627756536
2304,2016-04-07,1,2016-04-07 00:00:00,6.410012529569395e-05,6.659070492186448e-05,9.582983082859141e-05,9.582983082859141e-05,9.695500314491115e-05,9.796067828949093e-05,9.886493287912534e-05,9.968237256164522e-05,0.00010042492695080599,0.00010110243565897878,0.00010172308678752941,0.00010229374946659277,0.00010282022915516284,0.00010330746585214694
2305,2016-04-07,2,2016-04-07 01:00:00,6.787622234060202e-05,5.0270996065466176e-05,9.495333009158052e-05,9.495333009158052e-05,9.612765625913678e-05,9.717726494681211e-05,9.812102245962917e-05,9.89741725022127e-05,9.974916584090187e-05,0.00010045627193764347,0.00010110403659609531,0.00010169962902860716,0.00010224910830925365,0.00010275763024386151
2306,2016-04-07,3,2016-04-07 02:00:00,6.440455035087578e-05,4.8146015797474734e-05,9.54235008824432e-05,9.54235008824432e-05,9.657146003838845e-05,9.759750198181543e-05,9.852006941475016e-05,9.935406377665465e-05,0.00010011165627823041,0.00010080288580236543,0.00010143610627476194,0.00010201832593826177,0.00010255546782323994,0.00010305257197280247
2307,2016-04-07,4,2016-04-07 03:00:00,7.124170912445026e-05,5.297508947011279e-05,9.557683227974169e-05,9.557683227974169e-05,9.671619266517319e-05,9.773454905710354e-05,9.865020601278116e-05,9.947795335266344e-05,0.00010022987111918416,0.00010091592299913245,0.00010154440034325775,0.00010212225889926601,0.0001026553773311637,0.000103148757929691
2308,2016-04-07,5,2016-04-07 04:00:00,8.31088684522085e-05,7.670417793925703e-05,9.928578664676401e-05,9.928578664676401e-05,0.00010021714910797469,0.00010104959767096266,0.00010179809527257235,0.00010247473175176798,0.00010308938185774788,0.0001036501903390651,0.00010416393490445826,0.00010463630148296772,0.00010507209554882947,0.00010547540619086479
2309,2016-04-07,6,2016-04-07 05:00:00,0.00020356272802806162,0.0001438559706137354,9.645136615892356e-05,9.645136615892356e-05,9.44220309603464e-05,9.260821814285257e-05,9.09773251315295e-05,8.950300951214313e-05,8.816375530465361e-05,8.694181600798248e-05,8.582242374873805e-05,8.479318952004187e-05,8.384364272809289e-05,8.296487370321817e-05
2310,2016-04-07,7,2016-04-07 06:00:00,0.00019864466476656796,0.00023141308815228539,0.00010268496544139028,0.00010268496544139028,0.00010030605112492207,9.817978569476796e-05,9.626795036269242e-05,9.453966489442185e-05,9.296970690531247e-05,9.153727283096924e-05,9.022505084165602e-05,8.90185177645374e-05,8.790539931120962e-05,8.687525100667668e-05
2311,2016-04-07,8,2016-04-07 07:00:00,0.0001811745500872972,0.0002343566291928332,0.00010499470339852472,0.00010499470339852472,0.00010248625979457693,0.00010024422153298718,9.822828885422379e-05,9.640590012896885e-05,9.47504596412699e-05,9.324003109536175e-05,9.18563600512784e-05,9.058413256527846e-05,8.941040602735434e-05,8.832416727224875e-05
2312,2016-04-07,9,2016-04-07 08:00:00,0.0001492177095706266,0.0001807049220876303,0.00011009856003462206,0.00011009856003462206,0.00010730389503170291,0.0001048060330686077,0.00010256007605497801,0.000100529746975955,9.868541545974843e-05,9.700264220942846e-05,9.546108989532954e-05,9.404369720398886e-05,9.27360447324038e-05,9.152586267810906e-05
2313,2016-04-07,10,2016-04-07 09:00:00,0.00013101293828577675,0.00015126987982323918,0.00011329614989986435,0.00011329614989986435,0.00011032216518856989,0.00010766402788717253,0.00010527395901888872,0.00010311335385383177,0.00010115068078710371,9.935993237403831e-05,9.771946634000488e-05,9.62111266321885e-05,9.481956862644606e-05,9.353173522831205e-05
2314,2016-04-07,11,2016-04-07 10:00:00,0.00010726026016666684,0.00012647719530755605,0.00011707551244126936,0.00011707551244126936,0.00011388958241574429,0.00011104200912179688,0.00010848160854488075,0.00010616702473329709,0.00010406447893680016,0.00010214611025263057,0.0001003887340382094,9.87729003234045e-05,9.728217092727894e-05,9.590255822267858e-05
2315,2016-04-07,12,2016-04-07 11:00:00,9.525682360438456e-05,0.00011105183351398993,0.00011839274111098238,0.00011839274111098238,0.0001151329413676789,0.00011221934357416874,0.00010959957695138809,0.00010723132665888164,0.00010508003074441003,0.00010311718231581443,0.0001013190591659773,9.966576035321571e-05,9.814046655708968e-05,9.672886583005446e-05
2316,2016-04-07,13,2016-04-07 12:00:00,9.257836993269684e-05,0.00010454082389187028,0.00011750574873425558,0.00011750574873425558,0.00011429569120963208,0.00011142655284001384,0.00010884676198706648,0.0001065146495046144,0.00010439618083115442,0.00010246328406936638,0.00010069259899609101,9.906452834381893e-05,9.75625094429419e-05,9.617244873602519e-05
2317,2016-04-07,14,2016-04-07 13:00:00,8.784630087130146e-05,9.95131328758623e-05,0.0001182589382196264,0.0001182589382196264,0.00011500664209513236,0.00011209975101029394,0.00010948601473650863,0.00010712321583636972,0.00010497687191458469,0.00010301854169801089,0.0001012245575848482,9.957506444269399e-05,9.80532816669127e-05,9.664493025413017e-05
2318,2016-04-07,15,2016-04-07 14:00:00,6.968453339894533e-05,9.572042474860464e-05,0.00012049858732183065,0.00012049858732183065,0.00011712069246804494,0.0001141015416711541,0.00011138686687820426,0.00010893282027857263,0.00010670358781931132,0.00010466962986857065,0.00010280636481776957,0.00010109317075949349,9.951261904768065e-05,9.804987924556623e-05
2319,2016-04-07,16,2016-04-07 15:00:00,5.721629662938555e-05,0.00010011485034190928,0.00012397759549026357,0.00012397759549026357,0.00012040459801372183,0.00011721106516396477,0.00011433959443894482,0.00011174380543800159,0.00010938581553709068,0.00010723437893531379,0.00010526349422373684,0.00010345134840155813,0.00010177950616777106,0.00010023228049970899
2320,2016-04-07,17,2016-04-07 16:00:00,6.333889182263707e-05,0.00011696804993352905,0.0001229104628088921,0.0001229104628088921,0.0001193973097555834,0.00011625726564538586,0.00011343388941539359,0.0001108815774940218,0.00010856308175635503,0.00010644767973993711,0.00010450980553553167,0.00010272801149004872,0.00010108417107682675,9.95628600164084e-05
2321,2016-04-07,18,2016-04-07 17:00:00,7.35350511959263e-05,0.00013562416199838128,0.000120530995661021,0.000120530995661021,0.00012936992054131822,0.00013727012118436063,0.00014437360060214896,0.0001507950951973946,0.00015662831946902878,0.00016195056966166916,0.0001668261683789165,0.00017130907688908,0.00017544490066538312,0.00017927244645646074
2322,2016-04-07,19,2016-04-07 18:00:00,9.279332009382488e-05,0.00014242033052072186,0.0001174085531323622,0.0001174085531323622,0.00012642258348498535,0.00013447929279665022,0.0001417234972613707,0.00014827220629268933,0.0001542209909413038,0.00015964867874614702,0.00016462086658795613,0.0001691925847466569,0.00017341034217276629,0.00017731371440457875
2323,2016-04-07,20,2016-04-07 19:00:00,0.00011285293803611674,0.00014102993620590244,0.00011911802061132644,0.00011911802061132644,0.00012231682308331098,0.0001251759017256094,0.00012774664735689805,0.0001300705830236549,0.00013218162395594487,0.0001341077436258482,0.0001358722203512812,0.00013749458268812566,0.00013899133523422104,0.00014037652213239518
2324,2016-04-07,21,2016-04-07 20:00:00,0.00011653527411869731,0.00013601887938885328,0.00011290286761408257,0.00011290286761408257,0.00011645021366730885,0.00011962081936317371,0.0001224716750971143,0.00012504882829354383,0.00012738988960787749,0.0001295258805197621,0.00013148261576765357,0.00013328175175148242,0.00013494159142071773,0.00013647770917705118
2325,2016-04-07,22,2016-04-07 21:00:00,7.047528053466283e-05,0.00010803818758871644,0.00011132221928331865,0.00011132221928331865,0.00011495820753572048,0.00011820804132418838,0.00012113013513808986,0.00012377168704936597,0.00012617124754032172,0.00012836061326509672,0.00013036624402895278,0.00013221033738875496,0.00013391165365383184,0.00013548615640392425
2326,2016-04-07,23,2016-04-07 22:00:00,7.454155915174515e-05,8.132154664254696e-05,0.00010232179076139495,0.00010232179076139495,0.00010646251986106676,0.00011016348928199835,0.0001134912224998382,0.00011649946953146413,0.00011923213236247296,0.00012172542159695043,0.00012400947013907924,0.00012610955696757778,0.00012804704666158194,0.00012984011883405505
2327,2016-04-07,24,2016-04-07 23:00:00,6.357884394132758e-05,7.281053279487779e-05,9.818945971800214e-05,9.818945971800214e-05,0.00010256192848062018,0.000106470026014871,0.00010998399884310654,0.00011316060515069268,0.00011604620393770352,0.00011867903236755383,0.00012109090975976308,0.00012330852985404148,0.00012535445291759063,0.00012724787600191647
2328,2016-04-08,1,2016-04-08 00:00:00,6.226468252761435e-05,6.561797158787888e-05,9.401643563036426e-05,9.401643563036426e-05,9.524330250784395e-05,9.63398719012549e-05,9.732585421591059e-05,9.821717517739802e-05,9.902684261373196e-05,9.976558545445524e-05,0.00010044233185235789,0.0001010645717786357,0.00010163863539734004,0.00010216990919100893
2329,2016-04-08,2,2016-04-08 01:00:00,5.615683904474812e-05,5.131358654180567e-05,9.381265852313177e-05,9.381265852313177e-05,9.505095314869125e-05,9.615773662401274e-05,9.715290294853115e-05,9.805252618925775e-05,9.8869735336645e-05,9.961535925569431e-05,0.00010029840926117745,0.00010092644509021638,0.00010150585586967365,0.0001020420782549028
2330,2016-04-08,3,2016-04-08 02:00:00,5.76473316092124e-05,4.781120286996512e-05,9.40956221434891e-05,9.40956221434891e-05,9.531804826932793e-05,9.641064853420305e-05,9.73930619998972e-05,9.828115674744496e-05,9.908789352189338e-05,9.982396241848929e-05,0.0001004982592737952,0.00010111824694840305,0.0001016902326937835,0.00010221958349563128
2331,2016-04-08,4,2016-04-08 03:00:00,5.651098180528835e-05,5.21070238420032e-05,9.550913440806639e-05,9.550913440806639e-05,9.665229126619077e-05,9.767404093235028e-05,9.859274895656839e-05,9.942325444059247e-05,0.00010017767767887119,0.00010086601555828149,0.00010149658705725505,0.00010207637110080551,0.00010261126594128704,0.00010310629053761649
2332,2016-04-08,5,2016-04-08 04:00:00,6.912040672882806e-05,7.419199595747496e-05,9.902855613403047e-05,9.902855613403047e-05,9.997434399139029e-05,0.00010081968592381822,0.00010157977662142392,0.00010226689317649536,0.00010289106328316366,0.00010346055783982074,0.00010398225953166459,0.00010446194235417828,0.0001049044862111271,0.00010531404352513475
2333,2016-04-08,6,2016-04-08 05:00:00,7.924514766605173e-05,0.00013620767283266817,0.00010645363949126558,0.00010645363949126558,0.00010386338034289038,0.00010154821562922078,9.946653117139308e-05,9.758470330806842e-05,9.587526887585538e-05,9.43155761034732e-05,9.288677516306612e-05,9.157305263040105e-05,9.036104375853964e-05,8.923937617617747e-05
2334,2016-04-08,7,2016-04-08 06:00:00,0.00010504877938938985,0.00022131295788666206,0.00011033608234644356,0.00011033608234644356,0.00010752809610080982,0.00010501832765681507,0.00010276166490977051,0.00010072165792429936,9.88685350904401e-05,9.717774061722661e-05,9.562884023367684e-05,9.420469130069591e-05,9.289080568276164e-05,9.167485509132297e-05
2335,2016-04-08,8,2016-04-08 07:00:00,0.0001785994399225989,0.0002376233497312475,0.00010387978596559705,0.00010387978596559705,0.00010143386653684395,9.924771216789591e-05,9.728202759030144e-05,9.550506278916875e-05,9.389088495968318e-05,9.241810457890612e-05,9.106892220765397e-05,8.982840560967117e-05,8.868393477579093e-05,8.76247710492491e-05
2336,2016-04-08,9,2016-04-08 08:00:00,0.00014302585164587838,0.0001818037582596578,0.00011210666968748189,0.00011210666968748189,0.00010919939060567454,0.000106600874566377,0.00010426441426163792,0.00010215227085465959,0.00010023361998545539,9.848303754893079e-05,9.687936670050706e-05,9.540485862245938e-05,9.404451286619097e-05,9.278556520414392e-05
2337,2016-04-08,10,2016-04-08 09:00:00,0.0001057431868138245,0.00015188470958064283,0.00011973490596455701,0.00011973490596455701,0.00011639983809110626,0.00011341896590187005,0.00011073870938687319,0.00010831577666437887,0.00010611480775351896,0.00010410663754364325,0.00010226699608657246,0.00010057552293182349,9.901501040418013e-05,9.757081609606477e-05
2338,2016-04-08,11,2016-04-08 10:00:00,5.1256406124973974e-05,0.00012411062942461966,0.00013293205447655168,0.00013293205447655168,0.00012885689518353502,0.00012521453183016436,0.0001219394943618994,0.00011897888391105104,0.00011628949369439825,0.00011383568651467608,0.00011158780663214645,0.00010952097536902995,0.00010761416646132553,0.00010584948817621803
2339,2016-04-08,12,2016-04-08 11:00:00,6.551427096588063e-05,0.00010672634271473701,0.0001265988045976165,0.0001265988045976165,0.00012287881171718558,0.00011955389488124735,0.00011656429001206654,0.00011386170858960332,0.00011140670947440481,0.00010916676139331777,0.00010711479322279655,0.00010522809456122008,0.00010348747166749467,0.00010187659214479722
2340,2016-04-08,13,2016-04-08 12:00:00,3.295098922225438e-05,0.00010058705244240908,0.0001342395509069872,0.0001342395509069872,0.00013009106767672768,0.0001263831676405589,0.00012304920274773838,0.00012003532232649385,0.00011729754217823633,0.00011479958388914271,0.00011251125812668919,0.00011040723857351293,0.00010846612064212882,0.00010666969067554649
2341,2016-04-08,14,2016-04-08 13:00:00,3.0274069274450775e-05,9.644371435400206e-05,0.00013298407304199457,0.00013298407304199457,0.00012890599656623138,0.00012526102584495998,0.00012198364395722337,0.00011902091416793807,0.00011632959876451967,0.00011387403503899075,0.00011162454602269776,0.00010955623522858203,0.00010764806134109487,0.0001058821198197121
2342,2016-04-08,15,2016-04-08 14:00:00,5.295680825922844e-05,9.248563236799588e-05,0.00012522064923644485,0.00012522064923644485,0.00012157794282109426,0.00011832210436170009,0.00011539461143728706,0.00011274817876871867,0.00011034418464452084,0.00010815077366033562,0.00010614143712150142,0.00010429393645704803,0.0001025894766944946,0.00010101206475842466
2343,2016-04-08,16,2016-04-08 15:00:00,2.2630739468596546e-05,9.83314612049342e-05,0.00013195542467509154,0.00013195542467509154,0.00012793503336032123,0.00012434162143744917,0.00012111059873472362,0.00011818977731716432,0.00011553653107778722,0.00011311570176434626,0.00011089803219450743,0.00010885897804671773,0.00010697779563880589,0.00010523683369335074
2344,2016-04-08,17,2016-04-08 16:00:00,6.028789369817878e-05,0.00011087259046447585,0.00012185566458049414,0.00012185566458049414,0.00011840166423865955,0.00011531449061843154,0.00011253865298325177,0.00011002931561163225,0.00010774985754392834,0.00010567007360711871,0.00010376482835794149,0.00010201303526814688,0.00010039687301645026,9.890117702968618e-05
2345,2016-04-08,18,2016-04-08 17:00:00,7.399023333663542e-05,0.00012580563047580347,0.00011696266785456367,0.00011696266785456367,0.00012600170329581708,0.00013408076206965656,0.0001413450620929241,0.00014791193736546186,0.00015387722405384787,0.00015931996836608109,0.00016430594914987142,0.00016889034934016947,0.00017311980690419,0.0001770340071635102
2346,2016-04-08,19,2016-04-08 18:00:00,6.083579023665249e-05,0.00014126521673753917,0.00011712713895139263,0.00011712713895139263,0.0001261569509117237,0.00013422776577005303,0.0001414846532620705,0.0001480448276593667,0.00015400402733677416,0.0001594412178431112,0.0001644221109049939,0.00016900183314840587,0.00017322697495092653,0.000177137181139015
2347,2016-04-08,20,2016-04-08 19:00:00,6.622331040025649e-05,0.0001406936052303345,0.00011976394623905827,0.00011976394623905827,0.00012292652543036006,0.00012575322782902945,0.0001282948623034456,0.0001305924816925695,0.000132679617169961,0.00013458392543573965,0.00013632842120384777,0.00013793241188854696,0.00013941221518939676,0.00014078171621316943
2348,2016-04-08,21,2016-04-08 20:00:00,8.2249809343855e-05,0.00013123301539257146,0.00011306487241418445,0.00011306487241418445,0.00011660313329553629,0.0001197656186960421,0.0001226091730520107,0.0001251797258549672,0.00012751479143499972,0.00012964531182208482,0.00013159703564008667,0.00013339156382433993,0.00013504715244830003,0.000136579336025778
2349,2016-04-08,22,2016-04-08 21:00:00,7.97563313207022e-05,0.00011227920083093568,0.00010651742388867516,0.00010651742388867516,0.00011042286336693184,0.00011391353173388023,0.00011705217238609961,0.00011988948109064432,0.00012246686518028023,0.00012481847765543887,0.00012697273917121668,0.00012895349227299172,0.00013078088753540557,0.00013247207154700754
2350,2016-04-08,23,2016-04-08 22:00:00,8.100268574413028e-05,8.37886510687503e-05,9.895914473922261e-05,9.895914473922261e-05,0.00010328844983815558,0.00010715796783833196,0.00011063725181009054,0.00011378249963948861,0.00011663961268484306,0.00011924645064407913,0.0001216345187262032,0.00012383024715855617,0.0001258559735003367,0.00012773070529567633
2351,2016-04-08,24,2016-04-08 23:00:00,7.175031020603832e-05,7.296334721619133e-05,9.40187236270792e-05,9.40187236270792e-05,9.862508579412172e-05,0.00010274223644841395,0.00010644417976025314,0.00010979071004080156,0.00011283066613960554,0.00011560433061384068,0.00011814522487156561,0.00012048147056198443,0.00012263683475284706,0.00012463154139006987
2352,2016-04-09,1,2016-04-09 00:00:00,6.49280499448635e-05,6.594284268785376e-05,9.117202377398892e-05,9.117202377398892e-05,9.255840426205665e-05,9.379754637172077e-05,9.491172319702277e-05,9.59189310793893e-05,9.683386908624392e-05,9.766866109088456e-05,9.843339605817761e-05,9.913653778326877e-05,9.97852394594573e-05,0.00010038558790384381
2353,2016-04-09,2,2016-04-09 01:00:00,5.8586354674095694e-05,5.058454625049532e-05,9.061594534846804e-05,9.061594534846804e-05,9.203351051790537e-05,9.330052538847034e-05,9.443976405616371e-05,9.546962766482967e-05,9.640514591676294e-05,9.725871539475859e-05,9.804065200077382e-05,9.875960991113545e-05,9.942290322017655e-05,0.00010003675565939715
2354,2016-04-09,3,2016-04-09 02:00:00,5.9441828770248076e-05,4.803982792643679e-05,9.040989916569089e-05,9.040989916569089e-05,9.183901933216178e-05,9.311636201931433e-05,9.426488696160695e-05,9.530314529610257e-05,9.624628923668776e-05,9.710681641440604e-05,9.789512681921214e-05,9.86199451702086e-05,9.928864518109564e-05,9.990750131486742e-05
2355,2016-04-09,4,2016-04-09 03:00:00,6.323643957713011e-05,5.205735613038431e-05,9.07527700940545e-05,9.07527700940545e-05,9.216266218016623e-05,9.342281887525805e-05,9.4555891002313e-05,9.558018010234001e-05,9.65106345239433e-05,9.735958374893752e-05,9.813728784073565e-05,9.885235413181039e-05,9.95120571263183e-05,0.00010012258686756541
2356,2016-04-09,5,2016-04-09 04:00:00,8.258967627320435e-05,7.457996509408376e-05,8.998871902912198e-05,8.998871902912198e-05,9.144145775314331e-05,9.273991062576236e-05,9.390741682875233e-05,9.496283408717951e-05,9.592156503014677e-05,9.679631383257337e-05,9.759765236132618e-05,9.8334449525818e-05,9.901420090247655e-05,9.964328465010044e-05
2357,2016-04-09,6,2016-04-09 05:00:00,0.00015078512027533373,0.00013607113268378503,8.300338035119794e-05,8.300338035119794e-05,8.172820343898818e-05,8.058845470277152e-05,7.956364760546124e-05,7.863722931809803e-05,7.779567980662853e-05,7.702784767109501e-05,7.632445319703491e-05,7.567771148250219e-05,7.508104310213546e-05,7.452884947120105e-05
2358,2016-04-09,7,2016-04-09 06:00:00,0.0001417837612911849,0.00022139966536162585,8.611085844997412e-05,8.611085844997412e-05,8.466141418987196e-05,8.33659058977675e-05,8.22010473195689e-05,8.114802349501946e-05,8.019146672449462e-05,7.931870164310489e-05,7.851918035844859e-05,7.778405407367793e-05,7.710584421053958e-05,7.647818707437336e-05
2359,2016-04-09,8,2016-04-09 07:00:00,0.00013541436541055152,0.00023757135275459003,9.42856491998309e-05,9.42856491998309e-05,9.23777655666159e-05,9.067250574032484e-05,8.913921834354108e-05,8.775313750170055e-05,8.649403492220798e-05,8.534522619581538e-05,8.429282727618031e-05,8.332519061317319e-05,8.243247225663878e-05,8.160629576243008e-05
2360,2016-04-09,9,2016-04-09 08:00:00,0.0001222283616645859,0.00018155247275936437,0.00010176653813288026,0.00010176653813288026,9.943912997044524e-05,9.735890056353198e-05,9.548845860339012e-05,9.379759244733511e-05,9.226162580354359e-05,9.086020552804328e-05,8.95763946115625e-05,8.839598432419128e-05,8.730696612958964e-05,8.629912168731984e-05
2361,2016-04-09,10,2016-04-09 09:00:00,0.00012346545860557678,0.000151200345201599,0.00010190511153586498,0.00010190511153586498,9.956993222601612e-05,9.748275699428509e-05,9.560606968344114e-05,9.390955777501324e-05,9.236846258376525e-05,9.096236300717566e-05,8.967426548379692e-05,8.84899138411877e-05,8.739725944685832e-05,8.638604984163277e-05
2362,2016-04-09,11,2016-04-09 10:00:00,0.00010621841022776627,0.0001250774806294134,0.00010537169328321044,0.00010537169328321044,0.00010284210929540388,0.00010058117583146574,9.854825349800355e-05,9.671050624639737e-05,9.50411142202583e-05,9.351795625153136e-05,9.212262405749825e-05,9.083967463325443e-05,8.965605629249371e-05,8.856066305442143e-05
2363,2016-04-09,12,2016-04-09 11:00:00,0.00010434750171769528,0.00010676814175985995,0.00010401719008059131,0.00010401719008059131,0.00010156356615318128,9.937052552984503e-05,9.739864916440587e-05,9.56160870313403e-05,9.399682463906287e-05,9.251940508892794e-05,9.116597287459222e-05,8.992154872415667e-05,8.877347287618686e-05,8.771097284779768e-05
2364,2016-04-09,13,2016-04-09 12:00:00,9.033769677786875e-05,0.0001014489802047097,0.00010499114698035968,0.00010499114698035968,0.00010248290389458446,0.00010024104485544732,9.822527332487006e-05,9.640303027642293e-05,9.474772212014288e-05,9.323741431379265e-05,9.185385387661662e-05,9.058172808902845e-05,8.940809537561768e-05,8.832194345148959e-05
2365,2016-04-09,14,2016-04-09 13:00:00,7.891288028844642e-05,9.585147913032722e-05,0.00010586644278593353,0.00010586644278593353,0.00010330911342105047,0.0001010233812345539,9.89681610857272e-05,9.711025676848775e-05,9.54225542567206e-05,9.388268974952999e-05,9.247205305560398e-05,9.117503178566645e-05,8.997843109787262e-05,8.887102319707959e-05
2366,2016-04-09,15,2016-04-09 14:00:00,7.08646449650263e-05,9.39690691393593e-05,0.00010553096083368716,0.00010553096083368716,0.00010299244517799675,0.00010072352862003811,9.86834282734308e-05,9.683919214927288e-05,9.516390569337091e-05,9.36353696303894e-05,9.223511068009721e-05,9.094763131012936e-05,8.975983375018798e-05,8.866057280554743e-05
2367,2016-04-09,16,2016-04-09 15:00:00,6.807616794097657e-05,9.655197485504595e-05,0.00010627333180294802,0.00010627333180294802,0.00010369318317044298,0.00010138705520106759,9.931349614789709e-05,9.743901359227611e-05,9.573625156732653e-05,9.418264671805339e-05,9.275942279282347e-05,9.145082809168206e-05,9.024355003408742e-05,8.91262606383247e-05
2368,2016-04-09,17,2016-04-09 16:00:00,7.368274295411474e-05,0.00011139310587602652,0.00010630279405229129,0.00010630279405229129,0.00010372099318726645,0.00010141338845815025,9.933850157384004e-05,9.746281866836432e-05,9.575896625708751e-05,9.420436653626996e-05,9.278023123065573e-05,9.147079855347946e-05,9.02627473993112e-05,8.914474253241228e-05
2369,2016-04-09,18,2016-04-09 17:00:00,8.774519995428122e-05,0.00012711777907588494,0.00010186489694349642,0.00010186489694349642,0.00011175061003603921,0.00012058642638116163,0.00012853116631662278,0.0001357131544038185,0.00014223720368976438,0.00014818976456381993,0.00015364277731433175,0.00015865659380805277,0.0001632822205451899,0.0001675630601327632
2370,2016-04-09,19,2016-04-09 18:00:00,9.720011767241042e-05,0.0001407966274705389,9.898788558622677e-05,9.898788558622677e-05,0.00010903494045783447,0.00011801496352990388,0.00012608936719962435,0.0001333885703753386,0.00014001909672658547,0.00014606880757378122,0.00015161081732129216,0.00015670646282071353,0.00016140758303415063,0.00016575828892964576
